player_id,player,prior_season,prior_comp,prior_squad,prior_minutes,y1_season,y1_squad,y1_minutes,pos
https://fbref.com/en/players/6cc47ae1/Jurgen-Locadia,Jürgen Locadia,2019,Premier League,Brighton,1236,2020,Hoffenheim,530,FW
https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,Marcus Thuram,2019,Ligue 1,Guingamp,2571,2020,M'Gladbach,2202,FW
https://fbref.com/en/players/6fe90922/Ivan-Perisic,Ivan Perišić,2019,Serie A,Inter,2701,2020,Bayern Munich,1206,"FW,MF"
https://fbref.com/en/players/706a60e1/Myziane-Maolida,Myziane Maolida,2021,Ligue 1,Nice,1077,2022,Hertha BSC,776,"FW,MF"
https://fbref.com/en/players/71ec39ef/Lucas-Tousart,Lucas Tousart,2020,Ligue 1,Lyon,1763,2021,Hertha BSC,2090,MF
https://fbref.com/en/players/7391c2d9/Markus-Suttner,Markus Suttner,2018,Premier League,Brighton,1179,2019,Düsseldorf,489,"DF,MF"
https://fbref.com/en/players/741418c3/Alexis-Claude-Maurice,Alexis Claude-Maurice,2024,Ligue 1,Nice,504,2025,Augsburg,2109,"MF,FW"
https://fbref.com/en/players/7961f7aa/Kwon-Chang-hoon,Kwon Chang-hoon,2019,Ligue 1,Dijon,938,2020,Freiburg,676,"MF,FW"
https://fbref.com/en/players/79b51257/Morgan-Guilavogui,Morgan Guilavogui,2024,Ligue 1,Lens,566,2025,St. Pauli,1807,"FW,MF"
https://fbref.com/en/players/7c56da38/Christopher-Nkunku,Christopher Nkunku,2019,Ligue 1,Paris S-G,1156,2020,RB Leipzig,1925,"MF,FW"
https://fbref.com/en/players/822ed0ec/Valentin-Gendrey,Valentin Gendrey,2024,Serie A,Lecce,3044,2025,Hoffenheim,1414,DF
https://fbref.com/en/players/8652a85c/Lois-Openda,Loïs Openda,2023,Ligue 1,Lens,2517,2024,RB Leipzig,2697,FW
https://fbref.com/en/players/86574238/Kouadio-Kone,Kouadio Koné,2020,Ligue 1,Toulouse,875,2022,M'Gladbach,2183,MF
https://fbref.com/en/players/8aec0537/Pascal-Gross,Pascal Groß,2024,Premier League,Brighton,3114,2025,Dortmund,2327,"MF,DF"
https://fbref.com/en/players/92d83c27/Mattias-Svanberg,Mattias Svanberg,2022,Serie A,Bologna,2564,2023,Wolfsburg,1835,"MF,FW"
https://fbref.com/en/players/95bb6ddc/Junior-Dina-Ebimbe,Junior Dina Ebimbe,2021,Ligue 1,Dijon,2144,2023,Eint Frankfurt,1063,"DF,MF"
https://fbref.com/en/players/99b1d0e6/Stephan-Lichtsteiner,Stephan Lichtsteiner,2019,Premier League,Arsenal,938,2020,Augsburg,1343,DF
https://fbref.com/en/players/9b545925/Anthony-Rouault,Anthony Rouault,2023,Ligue 1,Toulouse,3314,2024,Stuttgart,1010,DF
https://fbref.com/en/players/a10361d2/Aleix-Garcia,Aleix García,2024,La Liga,Girona,3199,2025,Leverkusen,1455,MF
https://fbref.com/en/players/a65ce836/Emre-Can,Emre Can,2019,Serie A,Juventus,1811,2020,Dortmund,955,"MF,DF"
https://fbref.com/en/players/a78ff07f/Joao-Palhinha,João Palhinha,2024,Premier League,Fulham,2699,2025,Bayern Munich,673,MF
https://fbref.com/en/players/a7a9d95a/Paco-Alcacer,Paco Alcácer,2018,La Liga,Barcelona,695,2019,Dortmund,1211,FW
https://fbref.com/en/players/a8567629/Mitchel-Bakker,Mitchel Bakker,2021,Ligue 1,Paris S-G,1694,2022,Leverkusen,1822,DF
https://fbref.com/en/players/ac73ec79/Nordi-Mukiele,Nordi Mukiele,2018,Ligue 1,Montpellier,2791,2019,RB Leipzig,1225,DF
